Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
11.189,-83.084,-82.867,-83.243,-83.279,-83.264,-83.206,-83.270,-83.328,-83.319,-83.435,-83.340,-83.383,-83.377,-83.163,-83.359,-83.279,-83.127,-82.755
11.289,-83.066,-82.925,-83.246,-83.194,-83.328,-83.151,-83.313,-83.362,-83.200,-83.328,-83.401,-83.316,-83.392,-83.096,-83.279,-83.344,-83.044,-82.791
11.389,-83.163,-82.904,-83.170,-83.197,-83.304,-83.160,-83.340,-83.386,-83.231,-83.316,-83.438,-83.319,-83.347,-83.179,-83.325,-83.249,-83.154,-82.745
11.489,-83.109,-82.867,-83.188,-83.240,-83.286,-83.215,-83.270,-83.374,-83.292,-83.371,-83.365,-83.420,-83.325,-83.160,-83.231,-83.350,-83.075,-82.730
11.588,-83.112,-82.901,-83.252,-83.228,-83.340,-83.102,-83.398,-83.493,-83.182,-83.441,-83.289,-83.429,-83.353,-83.157,-83.267,-83.231,-83.176,-82.742
11.688,-83.163,-82.956,-83.206,-83.170,-83.298,-83.246,-83.374,-83.328,-83.304,-83.429,-83.365,-83.322,-83.426,-83.157,-83.340,-83.337,-83.118,-82.684
11.788,-83.127,-82.889,-83.185,-83.276,-83.310,-83.206,-83.374,-83.368,-83.279,-83.374,-83.420,-83.289,-83.328,-83.151,-83.307,-83.264,-83.109,-82.809
11.888,-83.075,-82.910,-83.286,-83.246,-83.344,-83.191,-83.371,-83.344,-83.420,-83.347,-83.356,-83.374,-83.411,-83.200,-83.304,-83.292,-83.121,-82.709
11.988,-83.130,-82.974,-83.237,-83.203,-83.340,-83.255,-83.185,-83.475,-83.206,-83.411,-83.347,-83.395,-83.279,-83.121,-83.228,-83.344,-83.035,-82.822
12.088,-83.096,-82.843,-83.270,-83.316,-83.398,-83.109,-83.429,-83.395,-83.249,-83.405,-83.307,-83.405,-83.429,-83.249,-83.395,-83.249,-83.130,-82.755
12.188,-83.072,-82.910,-83.295,-83.228,-83.246,-83.273,-83.392,-83.380,-83.203,-83.405,-83.438,-83.270,-83.325,-83.075,-83.276,-83.347,-83.069,-82.758
12.288,-83.218,-82.907,-83.221,-83.267,-83.286,-83.249,-83.432,-83.310,-83.395,-83.368,-83.380,-83.432,-83.420,-83.151,-83.353,-83.243,-83.133,-82.855
12.388,-83.087,-82.858,-83.292,-83.124,-83.411,-83.331,-83.316,-83.371,-83.206,-83.401,-83.423,-83.325,-83.334,-83.185,-83.301,-83.328,-83.105,-82.681
12.488,-83.173,-82.938,-83.090,-83.289,-83.298,-83.179,-83.331,-83.435,-83.295,-83.414,-83.313,-83.411,-83.344,-83.160,-83.243,-83.307,-83.084,-82.782
12.587,-83.206,-82.761,-83.319,-83.264,-83.374,-83.127,-83.319,-83.432,-83.234,-83.466,-83.426,-83.337,-83.368,-83.224,-83.365,-83.249,-83.121,-82.767
12.687,-83.054,-82.761,-83.322,-83.282,-83.221,-83.163,-83.447,-83.347,-83.258,-83.313,-83.316,-83.408,-83.307,-83.133,-83.264,-83.353,-83.023,-82.770
12.787,-83.078,-82.858,-83.347,-83.221,-83.340,-83.298,-83.310,-83.389,-83.316,-83.432,-83.392,-83.353,-83.417,-83.224,-83.386,-83.167,-83.115,-82.812
12.887,-83.105,-82.898,-83.234,-83.224,-83.347,-83.221,-83.392,-83.377,-83.246,-83.386,-83.270,-83.316,-83.276,-83.121,-83.301,-83.307,-83.151,-82.657
12.987,-83.240,-82.861,-83.224,-83.350,-83.426,-83.182,-83.316,-83.456,-83.286,-83.453,-83.356,-83.417,-83.380,-83.176,-83.270,-83.331,-83.081,-82.764
13.087,-83.109,-82.791,-83.270,-83.347,-83.255,-83.191,-83.438,-83.328,-83.200,-83.392,-83.377,-83.279,-83.362,-83.194,-83.350,-83.258,-83.188,-82.776
13.187,-83.151,-82.806,-83.319,-83.228,-83.359,-83.261,-83.313,-83.450,-83.340,-83.386,-83.328,-83.420,-83.307,-83.127,-83.270,-83.313,-83.109,-82.724
13.287,-83.023,-82.889,-83.243,-83.237,-83.304,-83.188,-83.392,-83.313,-83.218,-83.414,-83.447,-83.383,-83.401,-83.173,-83.344,-83.215,-83.090,-82.837
