Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
11.089,-83.594,-83.649,-83.618,-83.398,-83.267,-83.380,-83.575,-83.704,-82.599,-83.340,-83.374,-83.646,-83.521,-83.511,-83.194,-83.078,-82.990,-83.109
11.189,-83.743,-83.582,-83.603,-83.447,-83.163,-83.356,-83.435,-83.627,-82.617,-83.224,-83.246,-83.765,-83.624,-83.475,-83.072,-83.038,-83.044,-83.163
11.289,-83.710,-83.640,-83.502,-83.405,-83.151,-83.319,-83.517,-83.551,-82.483,-83.276,-83.340,-83.713,-83.737,-83.514,-83.142,-83.154,-83.078,-83.148
11.389,-83.710,-83.646,-83.575,-83.414,-83.157,-83.438,-83.490,-83.585,-82.452,-83.340,-83.322,-83.655,-83.624,-83.557,-83.209,-83.170,-83.011,-83.099
11.489,-83.740,-83.566,-83.444,-83.447,-83.163,-83.362,-83.420,-83.569,-82.608,-83.188,-83.237,-83.722,-83.609,-83.508,-83.133,-83.011,-82.983,-83.139
11.588,-83.612,-83.670,-83.609,-83.331,-83.240,-83.401,-83.603,-83.539,-82.516,-83.249,-83.298,-83.804,-83.688,-83.411,-83.078,-83.035,-83.130,-83.090
11.688,-83.743,-83.591,-83.609,-83.496,-83.145,-83.469,-83.490,-83.591,-82.465,-83.347,-83.356,-83.682,-83.649,-83.469,-83.145,-83.173,-83.154,-83.075
11.788,-83.646,-83.655,-83.569,-83.411,-83.261,-83.362,-83.453,-83.615,-82.529,-83.334,-83.264,-83.624,-83.551,-83.493,-83.160,-83.090,-82.977,-83.167
11.888,-83.688,-83.618,-83.746,-83.362,-83.267,-83.365,-83.554,-83.536,-82.568,-83.246,-83.246,-83.701,-83.578,-83.517,-83.167,-83.014,-83.145,-83.148
11.988,-83.691,-83.713,-83.646,-83.502,-83.185,-83.417,-83.469,-83.630,-82.498,-83.249,-83.304,-83.749,-83.694,-83.569,-83.133,-83.139,-83.041,-83.127
12.088,-83.591,-83.749,-83.676,-83.405,-83.206,-83.353,-83.420,-83.621,-82.626,-83.307,-83.386,-83.661,-83.615,-83.517,-83.170,-83.060,-83.148,-83.212
12.188,-83.661,-83.511,-83.707,-83.401,-83.191,-83.313,-83.572,-83.527,-82.629,-83.209,-83.276,-83.646,-83.554,-83.475,-83.127,-83.148,-83.084,-83.093
12.288,-83.667,-83.627,-83.542,-83.398,-83.203,-83.426,-83.597,-83.582,-82.526,-83.173,-83.182,-83.774,-83.694,-83.435,-83.304,-83.054,-82.999,-83.081
12.388,-83.664,-83.673,-83.673,-83.301,-83.270,-83.398,-83.450,-83.704,-82.498,-83.279,-83.203,-83.698,-83.536,-83.542,-83.218,-83.109,-83.167,-83.115
12.488,-83.710,-83.554,-83.640,-83.405,-83.310,-83.282,-83.487,-83.597,-82.571,-83.273,-83.282,-83.667,-83.698,-83.466,-83.130,-83.084,-83.026,-83.099
