x,25pA,-25pA,-50pA,-75pA,-100pA,-125pA,-150pA,-175pA,-200pA
-0.20073,0.215652,0.0869565,0.0780379,0.0688199,0.0594862,0.0482065,0.0480745,0.0473913,0.0392174
-0.19927,0.169043,0.0869348,0.0780825,0.0686708,0.0595652,0.0482428,0.0482816,0.0475155,0.0394261
-0.19854,0.145739,0.0869239,0.0781048,0.0685963,0.0595881,0.0482609,0.0483851,0.0475776,0.0395304
-0.19708,0.0991304,0.0869022,0.0781494,0.0684472,0.0596339,0.0481884,0.0485921,0.0477019,0.0397391
-0.19635,0.0995652,0.0868913,0.0781717,0.0683727,0.0596568,0.0481522,0.0486957,0.047764,0.0398435
-0.19562,0.1,0.0868804,0.078194,0.0682981,0.0596796,0.0481159,0.0488101,0.0478261,0.0399478
-0.193431,0.101304,0.0868478,0.0782609,0.0680745,0.0597483,0.0480072,0.0491533,0.048238,0.0402609
-0.186131,0.105652,0.0867391,0.0786561,0.0673292,0.0599771,0.0476449,0.0502975,0.049611,0.0413043
-0.185401,0.106087,0.0867283,0.0786957,0.0672547,0.06,0.0476087,0.0504119,0.0497483,0.041502
-0.183212,0.107391,0.0866957,0.0788142,0.0670311,0.0604658,0.0475,0.0507551,0.0501602,0.0420949
-0.182482,0.107826,0.0866848,0.0788538,0.0669565,0.0606211,0.0474638,0.0508696,0.0502975,0.0422925
-0.181752,0.108261,0.0866739,0.0788933,0.0669565,0.0607764,0.0474275,0.0509239,0.0504348,0.0424901
-0.181022,0.108696,0.086663,0.0789328,0.0669565,0.0609317,0.0473913,0.0509783,0.0505043,0.0426877
-0.178832,0.11,0.0866304,0.0790514,0.0669565,0.0613975,0.0475155,0.0511413,0.050713,0.0432806
-0.178102,0.110311,0.0866196,0.0790909,0.0669565,0.0615528,0.0475569,0.0511957,0.0507826,0.0434783
-0.175182,0.111553,0.0865761,0.079249,0.0669565,0.0621739,0.0477226,0.051413,0.0510609,0.0431056
-0.173723,0.112174,0.0865543,0.0793281,0.0669565,0.0621325,0.0478054,0.0515217,0.0512,0.0429193
-0.171533,0.112435,0.0865217,0.0794466,0.0669565,0.0620704,0.0479296,0.0516848,0.0514087,0.0426398
-0.170073,0.112609,0.0865459,0.0795257,0.0669565,0.062029,0.0480124,0.0517935,0.0515478,0.0424534
-0.169343,0.112947,0.086558,0.0795652,0.0669565,0.0620083,0.0480538,0.0518478,0.0516174,0.0423602
-0.167883,0.113623,0.0865821,0.0794837,0.0669565,0.0619669,0.0481366,0.0519565,0.0517565,0.0421739
-0.165693,0.114638,0.0866184,0.0793614,0.0669565,0.0619048,0.0482609,0.0521196,0.0519652,0.0417726
-0.164964,0.114976,0.0866304,0.0793207,0.0669565,0.0618841,0.0482609,0.0521739,0.0520348,0.0416388
-0.163504,0.115652,0.0866546,0.0792391,0.0669565,0.0618427,0.0482609,0.0523551,0.0521739,0.0413712
-0.160584,0.194957,0.0867029,0.0790761,0.0669565,0.0617598,0.0482609,0.0527174,0.0524764,0.0408361
-0.159854,0.214783,0.086715,0.0790353,0.0669565,0.0617391,0.0482609,0.052808,0.052552,0.0407023
-0.158394,0.111449,0.0867391,0.0789538,0.0669565,0.0617769,0.0482609,0.0529891,0.0527032,0.0404348
-0.155474,0.0986957,0.0867874,0.0787908,0.0669565,0.0618526,0.0482609,0.0533514,0.0530057,0.0405435
-0.149635,0.106957,0.0868841,0.0784647,0.0669565,0.0620038,0.0482609,0.0540761,0.0536106,0.0407609
-0.147445,0.107478,0.0869203,0.0783424,0.0669565,0.0620605,0.0482609,0.0543478,0.0538374,0.0408424
-0.146715,0.107652,0.0869324,0.0783016,0.0669565,0.0620794,0.0482609,0.0543659,0.053913,0.0408696
-0.145985,0.107826,0.0869444,0.0782609,0.0669565,0.0620983,0.0482609,0.0543841,0.0539478,0.0408696
-0.145255,0.108,0.0869565,0.0782759,0.0669565,0.0621172,0.0482609,0.0544022,0.0539826,0.0408696
-0.143066,0.108522,0.0869565,0.0783208,0.0669565,0.0621739,0.0482609,0.0544565,0.054087,0.0408696
-0.142336,0.108696,0.0869565,0.0783358,0.0669565,0.0621739,0.0482609,0.0544746,0.0541217,0.0408696
-0.136496,0.110783,0.0869565,0.0784558,0.0669565,0.0621739,0.0482609,0.0546196,0.0544,0.0408696
-0.135036,0.111304,0.0869565,0.0784858,0.0669565,0.0621739,0.0482609,0.0546558,0.0544696,0.0408696
-0.131387,0.112029,0.0869565,0.0785607,0.0669565,0.0621739,0.0482609,0.0547464,0.0546435,0.0408696
-0.130657,0.112174,0.0869565,0.0785757,0.0669754,0.0621739,0.0482609,0.0547645,0.0546783,0.0408696
-0.129927,0.112494,0.0869565,0.0785907,0.0669943,0.0621739,0.0482609,0.0547826,0.054713,0.0408696
-0.128467,0.113135,0.0869565,0.0786207,0.0670321,0.0621739,0.0482609,0.0547826,0.0547826,0.0408696
-0.126277,0.114096,0.0869565,0.0786657,0.0670888,0.0621739,0.0482609,0.0547826,0.0547826,0.0408696
-0.124818,0.114737,0.0873913,0.0786957,0.0671267,0.0621739,0.0482609,0.0547826,0.0547826,0.0408696
-0.120438,0.116659,0.0886957,0.077913,0.0672401,0.0621739,0.0482609,0.0547826,0.0547826,0.0408696
-0.117518,0.117941,0.0895652,0.0773913,0.0673157,0.0621739,0.0482609,0.0547826,0.0547826,0.0437681
-0.116788,0.118261,0.0899457,0.0783004,0.0673346,0.0621739,0.0482609,0.0547826,0.0547826,0.0444928
-0.116058,0.214783,0.0903261,0.0792095,0.0673535,0.0621739,0.0482609,0.0547826,0.0547826,0.0452174
-0.115328,0.185761,0.0907065,0.0801186,0.0673724,0.0621739,0.0482609,0.0547826,0.0547826,0.045942
-0.114599,0.156739,0.091087,0.0810277,0.0673913,0.0621739,0.0508696,0.0547826,0.0547826,0.0466667
-0.113869,0.127717,0.0914674,0.0819368,0.0695652,0.0621739,0.0534783,0.0547826,0.0547826,0.0473913
-0.113139,0.0986957,0.0918478,0.0828458,0.0717391,0.0621739,0.056087,0.0547826,0.0547826,0.0573913
-0.112409,0.0988889,0.0922283,0.0837549,0.073913,0.0621739,0.0586957,0.0547826,0.0547826,0.0552174
-0.111679,0.0990821,0.0926087,0.084664,0.076087,0.0621739,0.0613043,0.058913,0.058913,0.0691304
-0.110949,0.0992754,0.0929891,0.0855731,0.0782609,0.0695652,0.0691304,0.0630435,0.0630435,0.0711594
-0.110219,0.0994686,0.0933696,0.0864822,0.0804348,0.0769565,0.0728986,0.0734783,0.0742391,0.0731884
-0.109489,0.0996618,0.09375,0.0873913,0.0826087,0.0786957,0.0766667,0.0747826,0.0767391,0.0752174
-0.108759,0.0998551,0.0941304,0.0878841,0.0838043,0.083913,0.0804348,0.076087,0.0792391,0.0772464
-0.108029,0.100048,0.0945109,0.0883768,0.085,0.0869565,0.0821014,0.0773913,0.0817391,0.0792754
-0.107299,0.100242,0.0948913,0.0888696,0.0861957,0.09,0.0837681,0.0786957,0.0828019,0.0813043
-0.106569,0.100435,0.0952717,0.0893623,0.0873913,0.0909239,0.0854348,0.08,0.0838647,0.0895652
-0.105839,0.100906,0.0956522,0.0898551,0.088587,0.0918478,0.0871014,0.0847826,0.0849275,0.0903344
-0.10438,0.101848,0.0965652,0.0908406,0.0909783,0.0936957,0.0904348,0.0891304,0.0870531,0.0918729
-0.10146,0.103732,0.0983913,0.0928116,0.0957609,0.0973913,0.0933333,0.0929952,0.0913043,0.0949498
-0.10073,0.104203,0.0988478,0.0933043,0.0969565,0.0978986,0.094058,0.0939614,0.091942,0.0957191
-0.0978102,0.106087,0.100674,0.0952754,0.0992308,0.0999275,0.0969565,0.0978261,0.0944928,0.098796
-0.0970803,0.106364,0.10113,0.0957681,0.0997993,0.100435,0.097971,0.0983478,0.0951304,0.0995652
-0.0934307,0.107747,0.103413,0.0982319,0.102642,0.102971,0.103043,0.100957,0.0983188,0.101467
-0.0927007,0.108024,0.10387,0.0987246,0.103211,0.103478,0.103068,0.101478,0.0989565,0.101848
-0.0912409,0.108577,0.104783,0.0997101,0.104348,0.103641,0.103116,0.102522,0.100232,0.102609
-0.0905109,0.108854,0.104767,0.100203,0.104261,0.103723,0.10314,0.103043,0.10087,0.102754
-0.089781,0.10913,0.10475,0.100696,0.104174,0.103804,0.103164,0.103106,0.101043,0.102899
-0.0875912,0.110304,0.104702,0.102174,0.103913,0.104049,0.103237,0.103292,0.101565,0.103333
-0.0824818,0.113043,0.104589,0.103087,0.103304,0.10462,0.103406,0.103727,0.102783,0.104348
-0.0810219,0.169565,0.104557,0.103348,0.10313,0.104783,0.103454,0.103851,0.10313,0.104638
-0.080292,0.147391,0.104541,0.103478,0.103043,0.104771,0.103478,0.103913,0.103304,0.104783
-0.079562,0.125217,0.104525,0.103913,0.103038,0.104759,0.103478,0.103901,0.103478,0.103913
-0.0788321,0.103043,0.104509,0.104348,0.103032,0.104748,0.10347,0.10389,0.103475,0.103043
0.0255474,0.102618,0.102206,0.101775,0.102186,0.103078,0.102218,0.102209,0.103049,0.103043
0.0270073,0.102612,0.102174,0.101739,0.102174,0.103055,0.1022,0.102186,0.103043,0.102754
0.0277372,0.102609,0.102158,0.103043,0.102174,0.103043,0.102191,0.102174,0.103041,0.102609
0.0291971,0.102603,0.102126,0.105652,0.102174,0.10302,0.102174,0.10215,0.103035,0.102319
